x,y
抱表寝绳,0.555555556
抱病,-0.777777778
抱不平,0.111111111
抱残守缺,-0.555555556
抱残守阙,-0.555555556
抱诚守真,0.555555556
抱持,0.0149682621968733
抱持乐观,0.209647173336904
抱粗腿,-0.777777778
抱打不平,0.555555556
抱蛋而归,-0.125738237
抱佛脚,-0.555555556
抱负,0.555555556
抱负不凡,0.777777778
抱憾,-0.555555556
抱憾终身,-1
抱恨,-0.555555556
抱恨黄泉,-0.777777778
抱恨终生,-1
抱恨终天,-1
抱回,0.264981268620237
抱火寝薪,-0.555555556
抱火卧薪,-0.555555556
抱疚,-0.333333333
抱愧,-0.333333333
抱令守律,-0.555555556
抱蔓摘瓜,-0.555555556
抱朴含真,0.555555556
抱椠怀铅,0.555555556
抱歉,-0.555555556
抱屈,-0.555555556
抱屈衔冤,-0.777777778
抱头大哭,-0.555555556
抱头鼠窜,-0.111111111
抱委屈,-0.111111111
